,,Missing,Overall
"mean_corpuscular_hemoglobin_concentration, n (%)",347.0,,75 (0.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",348.0,,67 (0.4)
"mean_corpuscular_hemoglobin_concentration, n (%)",349.0,,39 (0.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",350.0,,36 (0.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",351.0,,49 (0.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",352.0,,45 (0.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",353.0,,23 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",354.0,,22 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",355.0,,16 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",356.0,,10 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",357.0,,13 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",358.0,,11 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",359.0,,4 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",360.0,,1 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",361.0,,3 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",362.0,,4 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",363.0,,2 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",364.0,,3 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",365.0,,3 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",366.0,,2 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",368.0,,1 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",369.0,,3 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",None,,7515 (48.5)
"total_bilirubin, n (%)",10.0,,391 (2.5)
"total_bilirubin, n (%)",101.0,,1 (0.0)
"total_bilirubin, n (%)",102.0,,1 (0.0)
"total_bilirubin, n (%)",106.0,,1 (0.0)
"total_bilirubin, n (%)",108.0,,1 (0.0)
"total_bilirubin, n (%)",11.0,,330 (2.1)
"total_bilirubin, n (%)",12.0,,239 (1.5)
"total_bilirubin, n (%)",121.0,,1 (0.0)
"total_bilirubin, n (%)",129.0,,2 (0.0)
"total_bilirubin, n (%)",13.0,,184 (1.2)
"total_bilirubin, n (%)",14.0,,169 (1.1)
"total_bilirubin, n (%)",148.0,,1 (0.0)
"total_bilirubin, n (%)",15.0,,145 (0.9)
"total_bilirubin, n (%)",150.0,,1 (0.0)
"total_bilirubin, n (%)",16.0,,84 (0.5)
"total_bilirubin, n (%)",161.0,,1 (0.0)
"total_bilirubin, n (%)",164.0,,1 (0.0)
"total_bilirubin, n (%)",17.0,,108 (0.7)
"total_bilirubin, n (%)",18.0,,48 (0.3)
"total_bilirubin, n (%)",19.0,,52 (0.3)
"total_bilirubin, n (%)",194.0,,1 (0.0)
"total_bilirubin, n (%)",20.0,,47 (0.3)
"total_bilirubin, n (%)",205.0,,1 (0.0)
"total_bilirubin, n (%)",21.0,,54 (0.3)
"total_bilirubin, n (%)",22.0,,33 (0.2)
"total_bilirubin, n (%)",23.0,,36 (0.2)
"total_bilirubin, n (%)",238.0,,1 (0.0)
"total_bilirubin, n (%)",24.0,,31 (0.2)
"total_bilirubin, n (%)",25.0,,34 (0.2)
"total_bilirubin, n (%)",26.0,,20 (0.1)
"total_bilirubin, n (%)",27.0,,21 (0.1)
"total_bilirubin, n (%)",28.0,,9 (0.1)
"total_bilirubin, n (%)",29.0,,12 (0.1)
"total_bilirubin, n (%)",3.0,,165 (1.1)
"total_bilirubin, n (%)",30.0,,18 (0.1)
"total_bilirubin, n (%)",31.0,,7 (0.0)
"total_bilirubin, n (%)",32.0,,12 (0.1)
"total_bilirubin, n (%)",33.0,,15 (0.1)
"total_bilirubin, n (%)",34.0,,9 (0.1)
"total_bilirubin, n (%)",35.0,,4 (0.0)
"total_bilirubin, n (%)",36.0,,10 (0.1)
"total_bilirubin, n (%)",37.0,,7 (0.0)
"total_bilirubin, n (%)",38.0,,7 (0.0)
"total_bilirubin, n (%)",39.0,,5 (0.0)
"total_bilirubin, n (%)",4.0,,441 (2.8)
"total_bilirubin, n (%)",40.0,,3 (0.0)
"total_bilirubin, n (%)",41.0,,5 (0.0)
"total_bilirubin, n (%)",42.0,,6 (0.0)
"total_bilirubin, n (%)",43.0,,5 (0.0)
"total_bilirubin, n (%)",44.0,,2 (0.0)
"total_bilirubin, n (%)",45.0,,6 (0.0)
"total_bilirubin, n (%)",46.0,,1 (0.0)
"total_bilirubin, n (%)",47.0,,2 (0.0)
"total_bilirubin, n (%)",48.0,,3 (0.0)
"total_bilirubin, n (%)",49.0,,3 (0.0)
"total_bilirubin, n (%)",5.0,,665 (4.3)
"total_bilirubin, n (%)",51.0,,2 (0.0)
"total_bilirubin, n (%)",52.0,,3 (0.0)
"total_bilirubin, n (%)",53.0,,2 (0.0)
"total_bilirubin, n (%)",54.0,,2 (0.0)
"total_bilirubin, n (%)",56.0,,3 (0.0)
"total_bilirubin, n (%)",57.0,,1 (0.0)
"total_bilirubin, n (%)",59.0,,3 (0.0)
"total_bilirubin, n (%)",6.0,,763 (4.9)
"total_bilirubin, n (%)",60.0,,1 (0.0)
"total_bilirubin, n (%)",63.0,,2 (0.0)
"total_bilirubin, n (%)",64.0,,1 (0.0)
"total_bilirubin, n (%)",65.0,,1 (0.0)
"total_bilirubin, n (%)",68.0,,2 (0.0)
"total_bilirubin, n (%)",69.0,,1 (0.0)
"total_bilirubin, n (%)",7.0,,727 (4.7)
"total_bilirubin, n (%)",73.0,,1 (0.0)
"total_bilirubin, n (%)",77.0,,1 (0.0)
"total_bilirubin, n (%)",79.0,,1 (0.0)
"total_bilirubin, n (%)",8.0,,615 (4.0)
"total_bilirubin, n (%)",80.0,,1 (0.0)
"total_bilirubin, n (%)",81.0,,1 (0.0)
"total_bilirubin, n (%)",83.0,,1 (0.0)
"total_bilirubin, n (%)",86.0,,1 (0.0)
"total_bilirubin, n (%)",88.0,,1 (0.0)
"total_bilirubin, n (%)",89.0,,1 (0.0)
"total_bilirubin, n (%)",9.0,,534 (3.4)
"total_bilirubin, n (%)",95.0,,1 (0.0)
"total_bilirubin, n (%)",97.0,,1 (0.0)
"total_bilirubin, n (%)",98.0,,1 (0.0)
"total_bilirubin, n (%)",None,,9347 (60.4)
"patient_ecog, n (%)",0.0,,2276 (14.7)
"patient_ecog, n (%)",1.0,,6033 (39.0)
"patient_ecog, n (%)",2.0,,1885 (12.2)
"patient_ecog, n (%)",3.0,,981 (6.3)
"patient_ecog, n (%)",4.0,,51 (0.3)
"patient_ecog, n (%)",None,,4258 (27.5)
"cycle_number, n (%)",1,,3399 (22.0)
"cycle_number, n (%)",10,,412 (2.7)
"cycle_number, n (%)",11,,368 (2.4)
"cycle_number, n (%)",12,,322 (2.1)
"cycle_number, n (%)",13,,239 (1.5)
"cycle_number, n (%)",14,,201 (1.3)
"cycle_number, n (%)",15,,170 (1.1)
"cycle_number, n (%)",16,,149 (1.0)
"cycle_number, n (%)",17,,133 (0.9)
"cycle_number, n (%)",18,,122 (0.8)
"cycle_number, n (%)",19,,109 (0.7)
"cycle_number, n (%)",2,,2138 (13.8)
"cycle_number, n (%)",20,,107 (0.7)
"cycle_number, n (%)",21,,99 (0.6)
"cycle_number, n (%)",22,,95 (0.6)
"cycle_number, n (%)",23,,80 (0.5)
"cycle_number, n (%)",24,,81 (0.5)
"cycle_number, n (%)",25,,71 (0.5)
"cycle_number, n (%)",26,,60 (0.4)
"cycle_number, n (%)",27,,56 (0.4)
"cycle_number, n (%)",28,,57 (0.4)
"cycle_number, n (%)",29,,50 (0.3)
"cycle_number, n (%)",3,,1500 (9.7)
"cycle_number, n (%)",30,,44 (0.3)
"cycle_number, n (%)",31,,43 (0.3)
"cycle_number, n (%)",32,,42 (0.3)
"cycle_number, n (%)",33,,35 (0.2)
"cycle_number, n (%)",34,,32 (0.2)
"cycle_number, n (%)",35,,27 (0.2)
"cycle_number, n (%)",36,,26 (0.2)
"cycle_number, n (%)",37,,24 (0.2)
"cycle_number, n (%)",38,,23 (0.1)
"cycle_number, n (%)",39,,20 (0.1)
"cycle_number, n (%)",4,,1264 (8.2)
"cycle_number, n (%)",40,,19 (0.1)
"cycle_number, n (%)",41,,17 (0.1)
"cycle_number, n (%)",42,,13 (0.1)
"cycle_number, n (%)",43,,11 (0.1)
"cycle_number, n (%)",44,,10 (0.1)
"cycle_number, n (%)",45,,10 (0.1)
"cycle_number, n (%)",46,,7 (0.0)
"cycle_number, n (%)",47,,7 (0.0)
"cycle_number, n (%)",48,,5 (0.0)
"cycle_number, n (%)",49,,7 (0.0)
"cycle_number, n (%)",5,,1052 (6.8)
"cycle_number, n (%)",50,,5 (0.0)
"cycle_number, n (%)",51,,6 (0.0)
"cycle_number, n (%)",52,,6 (0.0)
"cycle_number, n (%)",53,,7 (0.0)
"cycle_number, n (%)",54,,6 (0.0)
"cycle_number, n (%)",55,,3 (0.0)
"cycle_number, n (%)",56,,3 (0.0)
"cycle_number, n (%)",57,,3 (0.0)
"cycle_number, n (%)",58,,2 (0.0)
"cycle_number, n (%)",59,,3 (0.0)
"cycle_number, n (%)",6,,898 (5.8)
"cycle_number, n (%)",60,,2 (0.0)
"cycle_number, n (%)",61,,2 (0.0)
"cycle_number, n (%)",62,,2 (0.0)
"cycle_number, n (%)",63,,2 (0.0)
"cycle_number, n (%)",64,,2 (0.0)
"cycle_number, n (%)",65,,3 (0.0)
"cycle_number, n (%)",66,,3 (0.0)
"cycle_number, n (%)",67,,3 (0.0)
"cycle_number, n (%)",68,,3 (0.0)
"cycle_number, n (%)",69,,3 (0.0)
"cycle_number, n (%)",7,,634 (4.1)
"cycle_number, n (%)",70,,3 (0.0)
"cycle_number, n (%)",71,,3 (0.0)
"cycle_number, n (%)",72,,3 (0.0)
"cycle_number, n (%)",73,,3 (0.0)
"cycle_number, n (%)",74,,3 (0.0)
"cycle_number, n (%)",75,,3 (0.0)
"cycle_number, n (%)",76,,4 (0.0)
"cycle_number, n (%)",77,,3 (0.0)
"cycle_number, n (%)",78,,2 (0.0)
"cycle_number, n (%)",79,,3 (0.0)
"cycle_number, n (%)",8,,584 (3.8)
"cycle_number, n (%)",80,,2 (0.0)
"cycle_number, n (%)",81,,1 (0.0)
"cycle_number, n (%)",82,,1 (0.0)
"cycle_number, n (%)",83,,1 (0.0)
"cycle_number, n (%)",84,,2 (0.0)
"cycle_number, n (%)",85,,2 (0.0)
"cycle_number, n (%)",86,,2 (0.0)
"cycle_number, n (%)",87,,2 (0.0)
"cycle_number, n (%)",88,,2 (0.0)
"cycle_number, n (%)",89,,2 (0.0)
"cycle_number, n (%)",9,,482 (3.1)
"cycle_number, n (%)",90,,2 (0.0)
"cycle_number, n (%)",91,,2 (0.0)
"cycle_number, n (%)",92,,1 (0.0)
"cycle_number, n (%)",93,,1 (0.0)
"cycle_number, n (%)",94,,1 (0.0)
"cycle_number, n (%)",96,,2 (0.0)
"cycle_number, n (%)",97,,2 (0.0)
"cycle_number, n (%)",98,,2 (0.0)
"cycle_number, n (%)",99,,1 (0.0)
"potassium, n (%)",2.6,,6 (0.0)
"potassium, n (%)",2.7,,10 (0.1)
"potassium, n (%)",2.8,,10 (0.1)
"potassium, n (%)",2.9,,12 (0.1)
"potassium, n (%)",3.0,,30 (0.2)
"potassium, n (%)",3.1,,54 (0.3)
"potassium, n (%)",3.2,,54 (0.3)
"potassium, n (%)",3.3,,88 (0.6)
"potassium, n (%)",3.4,,140 (0.9)
"potassium, n (%)",3.5,,190 (1.2)
"potassium, n (%)",3.6,,234 (1.5)
"potassium, n (%)",3.7,,289 (1.9)
"potassium, n (%)",3.8,,416 (2.7)
"potassium, n (%)",3.9,,564 (3.6)
"potassium, n (%)",4.0,,642 (4.1)
"potassium, n (%)",4.1,,675 (4.4)
"potassium, n (%)",4.2,,596 (3.8)
"potassium, n (%)",4.3,,596 (3.8)
"potassium, n (%)",4.4,,492 (3.2)
"potassium, n (%)",4.5,,393 (2.5)
"potassium, n (%)",4.6,,289 (1.9)
"potassium, n (%)",4.7,,236 (1.5)
"potassium, n (%)",4.8,,170 (1.1)
"potassium, n (%)",4.9,,102 (0.7)
"potassium, n (%)",5.0,,59 (0.4)
"potassium, n (%)",5.1,,54 (0.3)
"potassium, n (%)",5.2,,25 (0.2)
"potassium, n (%)",5.3,,22 (0.1)
"potassium, n (%)",5.4,,8 (0.1)
"potassium, n (%)",5.5,,7 (0.0)
"potassium, n (%)",5.6,,6 (0.0)
"potassium, n (%)",5.7,,2 (0.0)
"potassium, n (%)",5.8,,1 (0.0)
"potassium, n (%)",6.2,,1 (0.0)
"potassium, n (%)",None,,9011 (58.2)
"esas_appetite, n (%)",0.0,,5033 (32.5)
"esas_appetite, n (%)",1.0,,1631 (10.5)
"esas_appetite, n (%)",10.0,,104 (0.7)
"esas_appetite, n (%)",2.0,,1324 (8.6)
"esas_appetite, n (%)",3.0,,1035 (6.7)
"esas_appetite, n (%)",4.0,,734 (4.7)
"esas_appetite, n (%)",5.0,,901 (5.8)
"esas_appetite, n (%)",6.0,,451 (2.9)
"esas_appetite, n (%)",7.0,,388 (2.5)
"esas_appetite, n (%)",8.0,,312 (2.0)
"esas_appetite, n (%)",9.0,,144 (0.9)
"esas_appetite, n (%)",None,,3427 (22.1)
"creatinine, n (%)",100.0,,31 (0.2)
"creatinine, n (%)",101.0,,31 (0.2)
"creatinine, n (%)",102.0,,27 (0.2)
"creatinine, n (%)",103.0,,29 (0.2)
"creatinine, n (%)",104.0,,29 (0.2)
"creatinine, n (%)",105.0,,18 (0.1)
"creatinine, n (%)",106.0,,17 (0.1)
"creatinine, n (%)",107.0,,25 (0.2)
"creatinine, n (%)",108.0,,27 (0.2)
"creatinine, n (%)",109.0,,23 (0.1)
"creatinine, n (%)",110.0,,11 (0.1)
"creatinine, n (%)",111.0,,19 (0.1)
"creatinine, n (%)",112.0,,13 (0.1)
"creatinine, n (%)",113.0,,21 (0.1)
"creatinine, n (%)",114.0,,16 (0.1)
"creatinine, n (%)",115.0,,10 (0.1)
"creatinine, n (%)",116.0,,12 (0.1)
"creatinine, n (%)",117.0,,25 (0.2)
"creatinine, n (%)",118.0,,13 (0.1)
"creatinine, n (%)",119.0,,6 (0.0)
"creatinine, n (%)",120.0,,6 (0.0)
"creatinine, n (%)",121.0,,15 (0.1)
"creatinine, n (%)",122.0,,9 (0.1)
"creatinine, n (%)",123.0,,10 (0.1)
"creatinine, n (%)",124.0,,6 (0.0)
"creatinine, n (%)",125.0,,9 (0.1)
"creatinine, n (%)",126.0,,5 (0.0)
"creatinine, n (%)",127.0,,8 (0.1)
"creatinine, n (%)",128.0,,3 (0.0)
"creatinine, n (%)",129.0,,8 (0.1)
"creatinine, n (%)",130.0,,6 (0.0)
"creatinine, n (%)",131.0,,6 (0.0)
"creatinine, n (%)",132.0,,6 (0.0)
"creatinine, n (%)",133.0,,5 (0.0)
"creatinine, n (%)",134.0,,3 (0.0)
"creatinine, n (%)",135.0,,5 (0.0)
"creatinine, n (%)",136.0,,2 (0.0)
"creatinine, n (%)",137.0,,7 (0.0)
"creatinine, n (%)",138.0,,4 (0.0)
"creatinine, n (%)",139.0,,2 (0.0)
"creatinine, n (%)",140.0,,4 (0.0)
"creatinine, n (%)",141.0,,1 (0.0)
"creatinine, n (%)",142.0,,5 (0.0)
"creatinine, n (%)",143.0,,1 (0.0)
"creatinine, n (%)",144.0,,1 (0.0)
"creatinine, n (%)",145.0,,3 (0.0)
"creatinine, n (%)",146.0,,5 (0.0)
"creatinine, n (%)",147.0,,2 (0.0)
"creatinine, n (%)",148.0,,4 (0.0)
"creatinine, n (%)",150.0,,4 (0.0)
"creatinine, n (%)",151.0,,5 (0.0)
"creatinine, n (%)",152.0,,1 (0.0)
"creatinine, n (%)",153.0,,1 (0.0)
"creatinine, n (%)",155.0,,3 (0.0)
"creatinine, n (%)",157.0,,1 (0.0)
"creatinine, n (%)",158.0,,2 (0.0)
"creatinine, n (%)",159.0,,3 (0.0)
"creatinine, n (%)",160.0,,1 (0.0)
"creatinine, n (%)",161.0,,2 (0.0)
"creatinine, n (%)",162.0,,1 (0.0)
"creatinine, n (%)",164.0,,1 (0.0)
"creatinine, n (%)",167.0,,2 (0.0)
"creatinine, n (%)",169.0,,1 (0.0)
"creatinine, n (%)",172.0,,2 (0.0)
"creatinine, n (%)",174.0,,1 (0.0)
"creatinine, n (%)",175.0,,1 (0.0)
"creatinine, n (%)",177.0,,1 (0.0)
"creatinine, n (%)",178.0,,1 (0.0)
"creatinine, n (%)",181.0,,2 (0.0)
"creatinine, n (%)",186.0,,1 (0.0)
"creatinine, n (%)",195.0,,1 (0.0)
"creatinine, n (%)",221.0,,1 (0.0)
"creatinine, n (%)",292.0,,1 (0.0)
"creatinine, n (%)",35.0,,1 (0.0)
"creatinine, n (%)",37.0,,1 (0.0)
"creatinine, n (%)",39.0,,1 (0.0)
"creatinine, n (%)",40.0,,2 (0.0)
"creatinine, n (%)",41.0,,1 (0.0)
"creatinine, n (%)",42.0,,3 (0.0)
"creatinine, n (%)",43.0,,10 (0.1)
"creatinine, n (%)",44.0,,7 (0.0)
"creatinine, n (%)",45.0,,9 (0.1)
"creatinine, n (%)",46.0,,10 (0.1)
"creatinine, n (%)",47.0,,10 (0.1)
"creatinine, n (%)",48.0,,29 (0.2)
"creatinine, n (%)",49.0,,27 (0.2)
"creatinine, n (%)",50.0,,44 (0.3)
"creatinine, n (%)",51.0,,46 (0.3)
"creatinine, n (%)",52.0,,77 (0.5)
"creatinine, n (%)",53.0,,80 (0.5)
"creatinine, n (%)",54.0,,102 (0.7)
"creatinine, n (%)",55.0,,118 (0.8)
"creatinine, n (%)",56.0,,129 (0.8)
"creatinine, n (%)",57.0,,150 (1.0)
"creatinine, n (%)",58.0,,171 (1.1)
"creatinine, n (%)",59.0,,188 (1.2)
"creatinine, n (%)",60.0,,177 (1.1)
"creatinine, n (%)",61.0,,204 (1.3)
"creatinine, n (%)",62.0,,203 (1.3)
"creatinine, n (%)",63.0,,247 (1.6)
"creatinine, n (%)",64.0,,239 (1.5)
"creatinine, n (%)",65.0,,226 (1.5)
"creatinine, n (%)",66.0,,226 (1.5)
"creatinine, n (%)",67.0,,234 (1.5)
"creatinine, n (%)",68.0,,215 (1.4)
"creatinine, n (%)",69.0,,221 (1.4)
"creatinine, n (%)",70.0,,200 (1.3)
"creatinine, n (%)",71.0,,191 (1.2)
"creatinine, n (%)",72.0,,180 (1.2)
"creatinine, n (%)",73.0,,194 (1.3)
"creatinine, n (%)",74.0,,148 (1.0)
"creatinine, n (%)",75.0,,144 (0.9)
"creatinine, n (%)",76.0,,115 (0.7)
"creatinine, n (%)",77.0,,93 (0.6)
"creatinine, n (%)",78.0,,93 (0.6)
"creatinine, n (%)",79.0,,93 (0.6)
"creatinine, n (%)",80.0,,73 (0.5)
"creatinine, n (%)",81.0,,72 (0.5)
"creatinine, n (%)",82.0,,68 (0.4)
"creatinine, n (%)",83.0,,72 (0.5)
"creatinine, n (%)",84.0,,72 (0.5)
"creatinine, n (%)",85.0,,67 (0.4)
"creatinine, n (%)",86.0,,59 (0.4)
"creatinine, n (%)",87.0,,66 (0.4)
"creatinine, n (%)",88.0,,76 (0.5)
"creatinine, n (%)",89.0,,60 (0.4)
"creatinine, n (%)",90.0,,47 (0.3)
"creatinine, n (%)",91.0,,67 (0.4)
"creatinine, n (%)",92.0,,44 (0.3)
"creatinine, n (%)",93.0,,53 (0.3)
"creatinine, n (%)",94.0,,41 (0.3)
"creatinine, n (%)",95.0,,49 (0.3)
"creatinine, n (%)",96.0,,35 (0.2)
"creatinine, n (%)",97.0,,37 (0.2)
"creatinine, n (%)",98.0,,43 (0.3)
"creatinine, n (%)",99.0,,29 (0.2)
"creatinine, n (%)",None,,8901 (57.5)
"sodium, n (%)",123.0,,3 (0.0)
"sodium, n (%)",124.0,,6 (0.0)
"sodium, n (%)",125.0,,10 (0.1)
"sodium, n (%)",126.0,,15 (0.1)
"sodium, n (%)",127.0,,18 (0.1)
"sodium, n (%)",128.0,,29 (0.2)
"sodium, n (%)",129.0,,46 (0.3)
"sodium, n (%)",130.0,,65 (0.4)
"sodium, n (%)",131.0,,79 (0.5)
"sodium, n (%)",132.0,,129 (0.8)
"sodium, n (%)",133.0,,204 (1.3)
"sodium, n (%)",134.0,,308 (2.0)
"sodium, n (%)",135.0,,388 (2.5)
"sodium, n (%)",136.0,,545 (3.5)
"sodium, n (%)",137.0,,759 (4.9)
"sodium, n (%)",138.0,,908 (5.9)
"sodium, n (%)",139.0,,976 (6.3)
"sodium, n (%)",140.0,,840 (5.4)
"sodium, n (%)",141.0,,578 (3.7)
"sodium, n (%)",142.0,,338 (2.2)
"sodium, n (%)",143.0,,156 (1.0)
"sodium, n (%)",144.0,,48 (0.3)
"sodium, n (%)",145.0,,16 (0.1)
"sodium, n (%)",146.0,,5 (0.0)
"sodium, n (%)",147.0,,2 (0.0)
"sodium, n (%)",148.0,,1 (0.0)
"sodium, n (%)",None,,9012 (58.2)
